f,omega,G_stor,G_loss,G_comp,tan_del,t,G_relax
Hz,rad/s,GPa,GPa,GPa,-,s,GPa
0.1,0.6283185307179586,1.9132105777738986,0.07065052726134755,1.9145146152245067,0.03692773188801435,10.0,1.8493355993786518
0.14384498882876628,0.903804720320316,1.9360821249355544,0.06974775083412123,1.9373380560040085,0.03602520261708572,6.951927961775606,1.8507045365348398
0.20691380811147897,1.300077798978621,1.9549607997983518,0.06414715426388795,1.9560129309767782,0.032812501545046086,4.832930238571753,1.8551778981018643
0.29763514416313175,1.8700967647060676,1.9690680538381593,0.05802586695694953,1.969922841606265,0.029468695530275847,3.359818286283783,1.8644380043648219
0.4281332398719394,2.690040482278563,1.9804407250096239,0.05384830609241214,1.981172659145504,0.027190061995998625,2.3357214690901222,1.8782907610851747
0.6158482110660264,3.86948843122289,1.9913317093703637,0.05162059857636222,1.9920006684088427,0.025922651828149745,1.6237767391887217,1.894780427936379
0.8858667904100826,5.566065201622969,2.0026762202349335,0.050156056983791185,2.003304188870637,0.025044516171419555,1.128837891684689,1.9116299011169546
1.2742749857031335,8.006505867476406,2.0142615845196916,0.048518788412084776,2.014845851101457,0.02408763031821126,0.7847599703514615,1.9274879435848187
1.8329807108324352,11.51695747064595,2.025524595657287,0.04632277395334834,2.0260542162043316,0.022869519359411436,0.5455594781168521,1.9420989119824814
2.6366508987303576,16.566566187064435,2.0357181374510422,0.043686231707574436,2.0361868337625477,0.0214598626911458,0.3792690190732251,1.9557548551353512
3.792690190732249,23.83017528109301,2.0443886280092336,0.04153128743673392,2.0448104337981134,0.020314771305089817,0.2636650898730359,1.9688927766493327
5.455594781168517,34.278512970963654,2.052195511545731,0.04099833267844333,2.052604998749359,0.019977790833176044,0.18329807108324367,1.9818038106268379
7.847599703514609,49.30792315374987,2.0606773259179976,0.04228131675635555,2.061111047784471,0.02051816469496015,0.12742749857031344,1.9943464902339334
11.28837891684688,70.92697655220813,2.071093866197573,0.04419915202743289,2.071565438899084,0.021340969981520137,0.08858667904100834,2.006021383332946
16.237767391887207,102.02490149810548,2.083359973732247,0.0449597650777943,2.083845042373708,0.021580411280173954,0.061584821106602676,2.016441672191681
23.35721469090121,146.75770816250966,2.0962334006827814,0.04349741186693103,2.0966846436641875,0.02075027134514846,0.042813323987193966,2.025843397791751
33.5981828628378,211.10360891171544,2.1084157978557667,0.039702995015338464,2.108789582784626,0.018830723548797126,0.0297635144163132,2.0350316908110075
48.32930238571751,303.6619626561796,2.118789311599291,0.0339130163594511,2.1190606974850894,0.016005846439659965,0.020691380811147905,2.044769821412898
69.51927961775604,436.80251625999404,2.126459304727045,0.027051870396193004,2.126631368703133,0.012721555656417988,0.014384498882876632,2.0554447118642085
100.0,628.3185307179587,2.131342583230138,0.02039966518765107,2.1314402063932936,0.009571274626688372,0.01,2.067041830087688
